ID	Age	Gender	Nationality	Handedness	computerType	userAgent	ipAddress	colorDepth	completionCode	initialTimeStamp	finalTimeStamp	ishiharaScore	amountPaid
1	41	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	98.122.172.83	24	NULL	2014-06-17 11:55:39	0000-00-00 00:00:00	NULL	NULL
2	37	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	67.165.79.111	24	NULL	2014-06-17 11:57:57	0000-00-00 00:00:00	NULL	NULL
3	24	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	67.149.240.161	24	1219889518	2014-06-17 11:59:02	2014-06-17 12:37:22	8/8	NULL
4	22	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	73.53.123.12	24	1375833516	2014-06-17 12:21:13	2014-06-17 12:56:58	8/8	NULL
5	25	Female	United States	Left-handed	Laptop	Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	172.7.38.73	24	NULL	2014-06-17 12:22:42	0000-00-00 00:00:00	NULL	NULL
6	47	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	72.241.242.236	24	1161146913	2014-06-17 13:13:51	2014-06-17 13:45:35	8/8	NULL
7	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0	12.190.177.3	24	NULL	2014-06-19 07:31:07	0000-00-00 00:00:00	NULL	NULL
8	24	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	64.245.37.130	24	NULL	2014-06-24 14:16:34	0000-00-00 00:00:00	8/8	NULL
9	33	Female	India	Right-handed	Laptop	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	117.208.226.248	24	1086435686	2014-06-24 14:17:47	2014-06-24 15:09:59	8/8	NULL
10	61	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.22 Safari/537.36	104.1.138.152	24	1002199588	2014-06-24 14:20:56	2014-06-24 14:52:53	8/8	NULL
11	29	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	209.194.2.130	24	1049799084	2014-06-24 15:09:58	2014-06-24 16:03:08	7/8	NULL
12	27	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	98.250.164.112	24	NULL	2014-06-24 15:42:54	0000-00-00 00:00:00	NULL	NULL
13	29	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	75.88.147.55	24	1009249945	2014-06-24 15:48:32	2014-06-24 17:12:38	8/8	NULL
14	25	Male	India	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	106.193.127.164	24	NULL	2014-06-24 17:46:05	0000-00-00 00:00:00	8/8	NULL
15	24	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	24.20.19.136	24	NULL	2014-06-24 17:52:59	0000-00-00 00:00:00	8/8	NULL
16	33	Female	United States	Left-handed	Laptop	Mozilla/5.0 (Windows NT 6.3; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	24.30.44.236	24	NULL	2014-06-24 18:13:37	0000-00-00 00:00:00	6/8	NULL
17	44	Male	United States	Left-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	108.230.214.89	24	NULL	2014-06-24 19:22:59	0000-00-00 00:00:00	NULL	NULL
18	51	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	50.168.157.113	24	NULL	2014-06-24 19:26:37	0000-00-00 00:00:00	8/8	NULL
19	32	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	72.188.80.46	24	1403592675	2014-06-24 19:33:24	2014-06-24 20:13:22	8/8	NULL
20	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.120.152	24	NULL	2014-06-26 15:18:19	0000-00-00 00:00:00	0/8	NULL
