userID	responseGiven	reactionTime	correctResp	primeShift	trialNum	blank0_duration	prime_duration	blank1_duration	target_duration	blank2_duration	mask_duration	blank3_duration	accuracyScore
685	15	3662	32	-45	0	502	4999	0	101	100	0	98	81.100
685	28	4394	62	45	1	501	5000	0	99	101	0	100	62.200
685	60	4862	92	45	2	502	5000	0	99	100	0	100	64.400
685	328	2328	302	-45	3	500	5001	0	99	100	0	102	71.100
685	196	3885	182	45	4	501	5000	0	99	101	0	99	84.400
685	4	4130	332	45	5	501	5000	0	100	100	0	101	64.400
685	0	3125	2	-45	6	502	4999	0	99	101	0	101	97.700
685	315	3106	272	45	7	500	5002	0	100	99	0	100	52.200
685	114	3589	152	45	8	500	5001	0	98	101	0	102	57.700
685	84	2785	122	-45	9	501	5000	0	99	101	0	100	57.700
685	278	3175	242	-45	10	502	4999	0	100	100	0	101	60.000
685	125	3585	212	-45	11	502	4999	0	99	102	0	101	3.300
686	348	4531	32	-45	0	515	4993	0	93	109	0	94	51.100
686	50	4250	62	45	1	515	4992	0	109	93	1	94	86.600
686	66	4270	92	45	2	500	5008	0	113	92	1	90	71.100
686	330	3960	302	-45	3	506	5008	0	93	93	1	109	68.800
686	146	3429	182	45	4	504	5007	1	110	92	0	94	60.000
686	324	3370	332	45	5	512	4992	0	94	109	0	94	91.100
686	17	4566	2	-45	6	509	5007	1	94	93	0	110	83.300
686	291	3865	272	45	7	513	4992	0	92	109	0	95	78.800
686	145	2602	152	45	8	514	4992	0	94	108	1	94	92.200
686	96	5258	122	-45	9	510	4991	1	94	109	0	109	71.100
686	269	4287	242	-45	10	504	5008	0	109	92	1	93	70.000
686	252	5114	212	-45	11	507	5007	1	93	93	0	110	55.500
687	26	4588	32	-45	0	500	5001	0	100	101	0	101	93.300
687	46	3914	62	45	1	500	5001	0	99	101	0	100	82.200
687	112	3746	92	45	2	500	5001	0	99	101	0	101	77.700
687	324	3346	302	-45	3	501	4998	0	101	100	0	99	75.500
687	206	4689	182	45	4	501	5001	0	98	100	0	102	73.300
687	0	3538	332	45	5	500	5000	0	98	102	0	101	68.800
687	344	3554	2	-45	6	500	5001	0	98	101	0	101	80.000
687	308	3389	272	45	7	501	5000	0	99	101	0	101	60.000
687	122	2783	152	45	8	501	4999	0	98	102	0	101	66.600
687	92	2155	122	-45	9	501	5001	0	98	100	0	102	66.600
687	244	3955	242	-45	10	501	5000	0	98	101	0	101	97.700
687	231	3674	212	-45	11	502	4999	0	101	100	0	98	78.800
692	165	3148	32	-45	0	502	5000	0	100	100	0	100	-47.800
692	49	2364	62	45	1	502	5000	0	100	100	0	100	85.500
692	140	3325	92	45	2	501	5001	0	100	100	0	100	46.600
692	17	2561	302	-45	3	501	5000	0	99	101	0	101	16.600
692	164	2441	182	45	4	502	5000	0	100	100	0	100	80.000
692	313	2265	332	45	5	501	5001	0	100	100	0	100	78.800
692	313	3070	2	-45	6	501	5001	1	100	99	0	100	45.500
692	274	3698	272	45	7	502	5000	0	99	100	0	100	97.700
692	176	2015	152	45	8	502	5000	0	99	100	0	101	73.300
692	126	2103	122	-45	9	502	5000	1	100	99	0	100	95.500
692	248	2064	242	-45	10	502	5000	0	99	99	0	101	93.300
692	238	2310	212	-45	11	501	5000	1	100	99	0	100	71.100
690	126	3438	32	-45	0	501	4999	0	100	101	0	100	-4.500
690	55	3614	62	45	1	500	5000	0	99	101	0	100	92.200
690	145	2970	92	45	2	501	5000	0	100	100	0	100	41.100
690	281	2610	302	-45	3	504	4998	0	97	102	0	101	76.600
690	133	3244	182	45	4	502	4999	0	99	101	0	101	45.500
690	355	4137	332	45	5	500	5000	0	100	100	0	100	74.400
690	7	5646	2	-45	6	500	5001	0	100	100	0	100	94.400
690	315	4746	272	45	7	501	5001	0	100	100	0	100	52.200
690	69	5149	152	45	8	501	5000	0	100	100	0	100	7.700
690	100	3831	122	-45	9	501	4999	0	100	101	0	100	75.500
690	234	8257	242	-45	10	500	5001	0	100	100	0	100	91.100
690	258	7526	212	-45	11	501	5001	0	100	98	1	100	48.800
695	46	2848	32	-45	0	501	4999	0	99	102	0	101	84.400
695	64	3965	62	45	1	501	5001	0	102	98	0	99	97.700
695	107	3677	92	45	2	501	5000	0	101	100	0	99	83.300
695	310	3923	302	-45	3	501	5007	0	99	102	0	99	91.100
695	156	3608	182	45	4	502	4998	0	99	102	0	99	71.100
695	0	3401	332	45	5	502	5000	0	99	101	0	100	68.800
695	16	3100	2	-45	6	501	5000	0	99	101	0	101	84.400
695	288	3172	272	45	7	500	5002	0	100	99	0	100	82.200
695	141	3416	152	45	8	501	4999	0	99	102	0	100	87.700
695	102	4563	122	-45	9	503	4999	0	101	100	0	99	77.700
695	236	4467	242	-45	10	500	5002	0	100	99	0	100	93.300
695	224	4505	212	-45	11	501	4999	0	98	102	0	101	86.600
705	152	7663	32	-45	0	500	5000	0	100	101	0	99	-33.400
705	108	4710	62	45	1	502	4999	0	102	99	0	99	48.800
705	111	4046	92	45	2	501	5000	0	102	99	0	99	78.800
705	318	3439	302	-45	3	502	4999	0	102	99	0	100	82.200
705	184	3347	182	45	4	501	5001	0	101	99	0	100	97.700
705	344	3915	332	45	5	501	5000	0	100	100	0	100	86.600
694	26	2691	32	-45	0	500	5000	0	99	101	0	101	93.300
705	338	3243	2	-45	6	501	4999	0	100	101	0	100	73.300
694	72	2660	62	45	1	501	4999	0	98	102	0	102	88.800
705	317	3773	272	45	7	502	4998	0	101	101	0	98	50.000
694	139	4280	92	45	2	500	5000	0	99	102	0	99	47.700
705	128	3107	152	45	8	502	5000	0	101	99	0	100	73.300
694	280	3782	302	-45	3	501	5000	0	100	101	0	99	75.500
705	123	3690	122	-45	9	501	5001	0	101	99	0	100	98.800
694	165	3894	182	45	4	502	4999	0	100	100	0	101	81.100
705	249	4132	242	-45	10	502	5000	0	100	100	0	99	92.200
694	347	3427	332	45	5	503	4998	0	99	102	0	99	83.300
705	261	3379	212	-45	11	501	5000	0	101	100	0	99	45.500
694	333	2883	2	-45	6	501	4999	0	99	102	0	100	67.700
